Connecticut January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,47.34
197512,56.35
197612,46.86
197712,54.44
197812,46.77
197912,56.93
198012,40.33
198112,41.93
198212,47.69
198312,63.01
198412,51.45
198512,42.42
198612,46.70
198712,44.43
198812,42.94
198912,57.55
199012,55.68
199112,47.77
199212,48.79
199312,45.75
199412,50.41
199512,42.29
199612,60.30
199712,42.68
199812,50.08
199912,49.15
200012,48.74
200112,39.54
200212,47.42
200312,56.12
200412,48.61
200512,54.68
200612,57.01
200712,45.54
200812,59.53
200912,50.50
201012,48.54
201112,63.69
201212,39.39
201312,43.39
201412,45.01
201512,37.08
201612,36.73
201712,44.10
201812,62.16
201912,53.91
202012,43.37
202112,51.07
202212,43.84
202312,61.25
