State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars),FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Alabama,1988,55527.3,4023842,13800,1.0,3057500.0,1874602.6666666667,61.30833333333334,1738008.25,56.85833333333333,136594.41666666666,7.2749999999999995
Alabama,2010,162068.8,4787998,33849,1.0,3690246.75,2196694.4166666665,59.50833333333333,1968756.75,53.34166666666667,227937.66666666666,10.375
Alabama,1999,103204.1,4430141,23296,1.0,3361671.9166666665,2150126.5,63.958333333333336,2048691.75,60.94166666666666,101434.75,4.7250000000000005
Alabama,2021,252791.9,5050380,50054,1.0,3989929.4166666665,2259433.3333333335,56.63333333333333,2183166.5833333335,54.71666666666667,76266.75,3.3666666666666667
Alabama,1995,85393.8,4296800,19874,1.0,3253838.5833333335,2065909.5833333333,63.49166666666667,1945243.5833333333,59.775,120666.0,5.833333333333333
Alabama,1985,46085.8,3972520,11601,1.0,2969083.3333333335,1804849.25,60.791666666666664,1632576.8333333333,54.975,172272.41666666666,9.541666666666666
Alabama,2017,197963.8,4952202,39975,1.0,3889271.6666666665,2203379.6666666665,56.65833333333333,2103740.4166666665,54.074999999999996,99639.25,4.508333333333334
Alabama,1984,42838.0,3951824,10840,1.0,2939000.0,1786316.6666666667,60.775,1584676.3333333333,53.916666666666664,201640.33333333334,11.283333333333333
Alabama,2006,144719.0,4628981,31264,1.0,3522272.8333333335,2169932.6666666665,61.60833333333333,2083033.1666666667,59.13333333333333,86899.5,4.0
Alabama,1980,31044.4,3900368,7959,1.0,2829250.0,1679659.75,59.36666666666667,1531545.5833333333,54.14166666666667,148114.16666666666,8.816666666666666
Alabama,2022,258362.2,5073903,50920,1.0,4013691.0833333335,2286026.0833333335,56.958333333333336,2226687.3333333335,55.46666666666667,59338.75,2.575
Alabama,2020,230872.6,5031864,45882,1.0,3966036.0833333335,2269427.0,57.21666666666667,2124281.8333333335,53.56666666666666,145145.16666666666,6.425
Alabama,2019,215165.8,5003418,43004,1.0,3935787.8333333335,2272405.5833333335,57.75,2200012.5833333335,55.89166666666667,72393.0,3.1833333333333336
Alabama,2018,205674.2,4976395,41330,1.0,3911655.0,2239817.6666666665,57.25833333333333,2151843.1666666665,55.0,87974.5,3.9416666666666664
Alabama,2016,190871.8,4930595,38712,1.0,3816952.75,2155751.4166666665,56.49166666666667,2028929.0,53.166666666666664,126822.41666666667,5.908333333333334
Alabama,2015,187474.7,4908162,38197,1.0,3799373.0833333335,2152497.9166666665,56.65,2020763.4166666667,53.175000000000004,131734.5,6.125
Alabama,2014,179487.1,4886793,36729,1.0,3783191.25,2164595.5,57.225,2018737.3333333333,53.36666666666667,145858.16666666666,6.733333333333333
Alabama,2013,173720.7,4864399,35713,1.0,3765925.6666666665,2172942.4166666665,57.725,2013764.5,53.46666666666667,159177.91666666666,7.325
Alabama,2012,172101.5,4839261,35564,1.0,3745692.5833333335,2179074.9166666665,58.166666666666664,2001117.5833333333,53.425000000000004,177957.33333333334,8.158333333333333
Alabama,2011,167882.2,4812138,34887,1.0,3725084.6666666665,2201954.5,59.11666666666667,1991026.5833333333,53.458333333333336,210927.91666666666,9.583333333333334
Alabama,2009,155666.9,4757938,32717,1.0,3621410.0,2157016.1666666665,59.56666666666666,1939466.8333333333,53.56666666666666,217549.33333333334,10.083333333333334
Alabama,2008,157780.3,4718206,33441,1.0,3591891.5,2177200.75,60.61666666666667,2049357.1666666667,57.050000000000004,127843.58333333333,5.883333333333333
