State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars)
United States,2023,22952028.3,334914895,68531
United States,1980,2313972.0,227224719,10184
United States,2006,11291446.0,298379912,37843
United States,1984,3275415.0,235824907,13889
United States,2017,16658962.0,326623063,51004
United States,1985,3508482.0,237923734,14746
United States,1995,6278125.0,266278393,23577
United States,1974,1244912.0,213333635,5836
United States,2021,21392812.0,332048977,64427
United States,1999,7978449.0,279040168,28592
United States,2010,12547501.0,309378433,40557
United States,1988,4264433.0,244499004,17442
United States,1975,1362505.0,215456585,6324
United States,1976,1495704.0,217553859,6875
United States,1977,1651632.0,219760875,7516
United States,1978,1855849.0,222098244,8356
United States,1979,2073296.0,224568579,9232
United States,1981,2590995.0,229465744,11291
United States,1982,2777640.0,231664432,11990
United States,1983,2969333.0,233792014,12701
United States,1986,3717756.0,240132831,15482
United States,1987,3931800.0,242288936,16228
United States,1989,4605107.0,246819222,18658
United States,1990,4897332.0,249622814,19619
United States,1991,5072291.0,252980941,20050
United States,1992,5406546.0,256514224,21077
United States,1993,5643648.0,259918588,21713
United States,1994,5933938.0,263125821,22552
United States,1996,6660854.0,269394284,24725
United States,1997,7068422.0,272646925,25925
United States,1998,7584003.0,275854104,27493
United States,2000,8620234.0,282162411,30551
United States,2001,8990104.0,284968955,31548
United States,2002,9146700.0,287625193,31801
United States,2003,9474684.0,290107933,32659
United States,2004,10008929.0,292805298,34183
United States,2005,10540800.0,295516599,35669
United States,2007,11925044.0,301231207,39588
United States,2008,12423410.0,304093966,40854
United States,2009,12058253.0,306771529,39307
United States,2011,13299818.0,311841632,42649
United States,2012,13905749.0,314344331,44237
United States,2013,14063283.0,316735375,44401
United States,2014,14778160.0,319270047,46287
United States,2015,15467113.0,321829327,48060
United States,2016,15884741.0,324367742,48971
United States,2018,17514402.0,328542157,53309
United States,2019,18343601.0,330233102,55547
United States,2020,19609985.0,331526933,59151
United States,2022,21820248.0,333271411,65473
Alabama,1988,55527.3,4023842,13800
Alabama,2010,162068.8,4787998,33849
Alabama,1999,103204.1,4430141,23296
Alabama,2021,252791.9,5050380,50054
Alabama,1974,16241.1,3627805,4477
Alabama,1995,85393.8,4296800,19874
Alabama,1985,46085.8,3972520,11601
Alabama,2017,197963.8,4952202,39975
Alabama,1984,42838.0,3951824,10840
Alabama,2006,144719.0,4628981,31264
Alabama,1980,31044.4,3900368,7959
Alabama,2023,271640.4,5108468,53175
